dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10
14,40,69,77,94,63,89,34,32,30
98,94,75,65,40,63,82,48,45,86
89,35,44,30,29,32,87,46,90,4
91,36,29,43,97,41,43,97,79,11
61,37,34,54,45,43,4,63,15,19
50,75,5,91,3,52,70,10,96,58
38,77,49,90,55,62,44,55,50,28
94,93,89,73,22,75,82,2,44,92
21,45,88,14,22,30,13,33,50,26
72,42,30,55,43,29,77,76,93,30
15,74,57,89,80,5,100,74,32,16
100,75,76,60,64,65,79,48,76,45
72,95,10,64,57,78,95,53,3,34
41,81,60,33,17,3,43,100,44,62
7,99,4,82,100,52,69,45,49,40
72,36,53,21,70,3,3,19,97,38
69,43,72,75,46,79,4,48,51,17
38,43,41,78,8,93,28,35,39,31
29,46,49,35,31,31,11,8,18,77
84,57,69,94,83,43,96,53,50,15
46,38,19,69,2,95,1,27,2,57
45,59,77,22,19,16,89,91,29,21
45,89,98,9,34,13,99,25,81,96
85,3,29,86,95,8,80,42,98,35
62,73,80,27,49,85,59,23,30,76
73,1,62,65,57,66,98,75,3,16
65,79,5,11,0,66,36,44,4,36
36,0,86,89,93,11,18,48,38,59
53,1,81,93,0,10,7,21,41,16
40,7,74,12,6,8,83,45,49,71
31,84,27,35,26,6,29,26,87,62
89,74,87,83,50,56,30,82,92,48
54,29,3,24,46,17,46,42,8,64
18,8,16,33,61,92,48,81,84,38
39,39,59,9,2,2,45,86,6,17
21,4,30,4,59,49,3,85,35,87
23,26,84,36,21,15,76,17,29,4
78,72,0,67,85,42,83,96,6,1
98,81,32,20,66,91,84,42,67,14
78,65,79,61,79,20,18,85,76,28
92,92,84,92,48,81,50,100,1,25
3,61,84,23,96,64,28,95,45,94
48,73,4,4,59,64,55,53,64,22
31,34,72,30,52,25,75,58,80,38
8,74,4,69,8,91,14,87,78,13
64,31,49,51,3,26,78,88,64,80
11,55,43,8,57,0,88,61,85,11
82,72,52,28,93,26,89,32,79,89
46,74,73,88,83,15,60,61,69,61
96,79,77,78,23,34,56,54,49,34
0,48,22,26,43,16,55,23,67,44
6,27,45,91,33,65,21,14,78,73
76,43,9,46,77,4,51,42,40,53
15,58,56,11,75,24,26,37,97,12
43,32,11,31,3,54,23,17,28,95
56,67,40,49,91,99,99,11,84,68
15,12,20,0,37,28,15,10,1,77
14,59,16,79,56,64,78,25,6,46
87,75,11,54,19,9,74,96,58,100
88,32,25,68,91,91,73,7,79,45
9,95,80,12,90,97,4,42,14,29
91,83,91,63,39,71,96,8,98,28
82,91,67,30,87,67,3,63,98,31
12,79,54,64,91,90,37,13,56,55
7,10,4,20,65,47,54,0,84,96
61,4,29,88,19,62,13,86,20,50
62,13,9,61,90,19,4,91,72,55
77,2,80,68,24,28,3,69,46,68
64,87,76,77,61,22,76,57,3,89
18,0,84,93,80,59,28,97,32,28
16,4,38,49,32,44,85,70,42,35
94,74,10,39,89,70,40,60,38,84
71,33,80,59,21,60,81,65,59,41
87,89,72,90,22,19,88,84,70,44
1,91,38,62,95,62,12,76,18,39
66,3,24,70,16,34,90,83,17,63
98,16,5,47,95,31,47,88,63,55
10,16,94,89,33,57,50,93,51,80
63,69,2,90,87,81,2,27,31,34
47,52,82,64,35,99,52,11,35,23
99,31,56,58,61,31,21,27,34,96
89,33,89,12,38,16,14,6,29,38
75,24,43,46,97,4,70,69,72,74
84,85,25,44,95,17,12,22,21,17
4,68,46,88,90,34,85,67,6,7
82,13,47,65,10,10,32,21,45,2
39,89,27,82,32,45,44,84,46,56
77,92,80,57,51,22,3,33,96,72
6,21,58,53,24,10,99,45,58,10
91,78,79,92,77,23,71,12,91,37
82,44,15,39,88,40,32,14,94,59
11,100,41,90,63,97,17,12,33,93
77,38,45,79,78,15,63,66,36,34
20,15,1,31,60,36,84,68,9,8
43,88,47,60,40,53,2,68,26,82
74,4,23,36,33,76,99,54,20,12
14,37,54,77,97,87,65,17,42,57
26,2,10,64,30,96,88,12,24,0
83,6,45,43,90,78,65,35,98,94
49,77,28,33,0,76,37,79,96,53
93,71,61,80,41,62,95,54,39,3
53,76,45,83,50,79,93,83,14,62
90,83,16,80,72,93,24,39,100,93
31,36,60,85,6,51,31,39,75,85
40,12,21,2,29,48,20,39,50,2
11,75,2,79,27,51,95,80,71,36
89,70,69,24,54,28,30,53,87,53
82,64,22,97,57,94,36,84,24,96
52,72,73,82,36,2,5,51,28,69
66,50,44,0,24,48,27,15,96,8
56,46,100,79,12,6,85,74,52,41
80,22,15,51,72,74,67,17,33,68
65,51,31,100,52,91,4,56,0,11
50,81,99,92,88,18,37,71,46,83
85,58,86,11,60,18,78,42,89,55
95,18,84,63,52,86,94,69,29,72
67,54,61,64,22,46,34,35,80,99
66,19,67,28,79,97,43,49,31,35
83,75,88,62,72,46,16,61,25,72
1,85,94,88,41,96,2,12,57,66
75,68,3,29,5,85,17,37,44,68
10,43,11,7,24,37,50,10,14,4
88,72,57,8,19,4,67,61,85,81
41,61,8,4,69,37,50,51,47,88
0,47,30,15,54,26,59,25,88,69
58,73,62,90,39,5,91,99,58,6
64,51,68,50,94,23,84,3,25,68
37,48,55,43,20,3,33,15,10,48
51,96,78,8,81,76,64,73,78,13
60,91,82,22,59,2,15,97,96,52
97,70,87,21,11,41,79,75,95,69
88,87,25,53,68,82,52,15,14,14
20,57,33,54,6,67,97,86,1,96
33,12,59,51,86,96,42,57,43,65
63,17,68,7,52,6,40,72,16,43
40,68,98,84,93,65,19,89,97,63
45,30,19,25,36,24,90,82,17,32
97,20,59,17,3,39,86,78,12,55
89,15,76,88,45,85,78,29,71,36
48,71,48,12,9,51,0,34,47,6
50,98,79,61,6,62,51,83,63,25
90,56,24,26,78,64,36,78,20,8
35,32,27,35,9,77,67,0,23,18
19,4,11,56,2,83,15,25,33,14
74,25,10,35,75,30,5,93,1,40
7,96,79,17,10,83,6,7,89,15
86,99,1,100,95,73,50,96,37,21
42,81,39,97,41,30,17,57,99,41
0,31,3,13,1,42,84,20,97,46
27,67,56,60,69,46,100,49,21,34
18,91,27,55,64,46,18,28,96,7
80,86,91,5,49,59,96,35,69,5
74,27,15,29,87,51,85,41,63,50
79,7,26,47,47,50,0,35,11,88
9,20,99,87,77,31,60,86,23,53
32,14,100,90,69,91,76,14,94,81
42,62,54,79,68,7,48,75,74,91
66,92,43,76,22,59,58,26,92,90
28,23,57,94,34,90,53,50,69,74
89,20,6,55,84,35,74,16,91,36
15,52,77,59,57,59,2,71,99,87
96,16,79,44,42,65,48,28,34,65
1,28,79,62,77,53,53,71,40,78
64,54,42,68,17,39,61,40,66,15
57,8,22,82,95,23,35,92,83,83
27,78,88,15,89,21,63,47,25,81
97,1,10,94,27,45,70,85,8,10
45,64,62,62,97,49,55,41,24,70
52,9,23,45,4,61,64,80,40,57
27,20,98,69,3,45,97,16,37,10
84,1,2,46,77,44,74,33,95,19
98,10,71,42,99,36,45,77,88,40
91,80,87,42,43,92,75,83,4,34
36,31,67,51,53,67,79,30,38,73
84,59,63,27,100,31,9,69,16,47
83,79,77,26,76,8,89,82,30,27
84,13,22,50,77,12,10,51,82,2
87,84,11,71,47,59,37,52,66,26
63,15,25,77,63,29,20,71,66,57
27,85,34,50,15,95,92,45,10,71
39,49,61,78,20,55,68,63,17,21
53,34,80,78,91,57,67,95,15,27
80,16,82,54,91,51,13,90,59,94
31,60,82,84,52,37,31,51,24,2
73,75,89,42,69,2,53,14,69,98
58,85,86,31,24,40,42,32,82,8
7,44,24,72,18,51,96,91,13,65
15,33,43,51,7,18,59,81,2,92
97,40,87,97,35,93,51,55,84,71
35,5,95,14,21,72,24,72,88,71
15,32,11,52,47,22,46,50,12,44
22,89,64,27,41,85,68,22,8,96
58,20,35,77,1,43,22,47,81,58
35,91,97,98,90,84,15,100,0,98
91,42,85,77,66,18,61,23,49,22
26,74,33,2,28,30,59,91,14,37
10,46,48,24,5,25,62,42,73,26
91,90,51,42,21,96,81,66,90,73
38,6,93,61,33,72,55,31,49,78
34,31,72,100,95,28,12,36,42,78
43,77,48,44,82,14,16,38,24,31
37,44,54,88,30,77,3,16,51,29
24,14,31,11,48,34,31,33,83,23
8,79,35,55,16,19,39,68,47,67
57,36,95,10,68,16,68,39,23,93
1,88,85,3,53,61,49,99,6,65
11,15,31,73,54,51,72,95,76,81
35,6,55,2,7,27,73,50,15,32
86,83,2,20,18,20,66,45,80,21
27,5,61,69,100,91,38,2,47,60
47,93,9,86,72,9,71,59,51,88
99,83,47,29,68,55,59,87,7,58
61,77,2,96,78,82,28,89,12,29
56,11,96,51,2,5,89,19,14,64
66,13,100,40,86,15,20,10,52,3
73,50,93,47,3,39,18,32,40,80
39,25,55,26,18,37,93,4,99,74
12,97,93,86,90,27,15,86,62,57
43,69,98,98,30,39,26,80,65,61
96,35,75,48,81,49,35,38,29,6
34,69,7,98,93,16,22,66,33,16
5,88,76,36,25,6,14,81,34,100
71,83,51,68,71,63,100,79,72,6
29,37,84,89,65,44,10,80,51,89
69,68,31,52,72,72,100,13,90,97
36,77,69,50,89,42,48,82,43,89
85,79,69,91,95,11,13,34,99,29
96,25,78,82,12,87,53,93,25,49
74,8,69,23,33,24,39,63,34,72
95,7,49,58,97,36,23,97,8,12
7,85,86,13,51,79,70,7,29,94
58,43,81,10,2,84,16,66,59,37
81,1,13,67,35,13,12,2,13,81
16,98,40,15,27,56,9,83,38,97
94,45,63,94,57,56,43,17,72,77
51,34,32,57,49,21,48,46,96,79
47,78,84,36,48,7,12,44,3,10
12,97,100,63,54,80,85,25,79,56
97,70,14,61,21,84,93,86,75,99
14,70,5,38,15,49,1,29,14,75
61,13,47,34,31,52,84,5,61,97
21,40,81,60,28,67,25,5,93,40
1,85,52,49,38,10,51,57,27,8
95,49,93,52,86,97,28,99,93,16
72,30,4,1,13,36,8,57,4,48
13,3,32,52,22,18,74,11,50,21
28,31,87,77,25,9,41,11,46,74
60,56,46,0,82,56,0,7,93,82
67,50,88,60,5,1,54,21,80,69
7,67,52,16,45,20,88,8,35,8
96,96,4,47,95,84,0,14,93,2
55,91,54,5,3,23,99,58,80,77
95,87,71,37,47,44,5,25,49,91
61,36,13,15,77,94,32,21,43,86
80,24,62,45,62,43,65,40,35,82
52,34,96,15,27,21,86,6,73,26
95,92,21,72,23,93,53,16,61,51
62,93,66,71,56,86,51,81,80,54
76,30,91,70,32,100,36,74,50,3
34,100,72,68,64,48,86,80,86,68
20,58,76,50,60,10,83,53,29,37
88,76,48,0,7,14,55,88,3,4
46,44,50,68,23,8,100,37,40,96
28,89,44,2,88,21,81,24,8,3
77,10,3,86,23,6,6,70,36,18
86,25,89,79,22,28,40,11,86,92
95,75,99,25,28,38,37,72,72,1
97,30,61,23,48,87,57,81,82,100
56,55,34,17,41,41,87,46,44,43
37,77,29,45,39,30,83,24,11,84
34,58,72,68,13,72,100,92,37,15
52,92,71,76,60,15,71,48,91,91
54,99,22,19,28,71,43,22,58,36
92,24,46,100,18,92,18,99,11,99
36,28,15,45,74,10,39,26,68,77
16,94,67,97,16,54,97,79,89,16
67,18,33,54,27,7,67,54,48,23
59,90,52,46,65,89,3,46,40,44
81,21,87,95,44,46,9,64,29,8
42,15,10,67,82,84,59,49,62,6
28,75,14,69,54,59,76,20,58,64
8,77,39,14,95,73,10,53,41,90
54,14,6,53,89,96,27,75,70,39
97,65,12,72,2,70,62,1,96,44
100,96,80,66,96,33,8,38,12,8
51,39,69,30,74,88,5,43,85,2
60,83,57,65,14,44,0,6,55,73
82,97,33,77,95,56,54,13,48,28
65,32,100,93,51,8,30,44,69,55
62,66,29,69,96,86,7,50,60,90
60,96,80,99,77,81,22,16,19,76
49,29,88,28,19,99,24,74,64,49
27,14,38,100,47,83,62,100,58,23
39,64,83,97,57,67,77,29,67,79
52,38,52,34,65,43,95,28,63,88
69,53,32,72,54,45,34,71,68,89
47,70,99,80,54,25,28,91,98,37
88,96,51,67,22,47,26,12,54,46
17,66,4,68,62,29,70,86,97,88
15,90,41,18,69,66,60,69,74,2
33,48,88,36,82,68,84,45,34,54
28,5,29,69,43,74,40,21,45,18
72,5,84,96,58,9,29,80,65,67
65,49,39,4,31,21,75,90,73,53
24,22,71,58,25,59,90,0,70,63
13,4,94,73,76,59,80,4,76,74
